,Feature,10%,Feature,20%,Feature,30%,Feature,40%,Feature,50%,Feature,60%,Feature,70%,Feature,80%,Feature,90%
1,tall,0.07465666513865768,tall,0.07387668578538545,tall,0.07683281951315978,mammal,0.09005620378045563,group,0.08012403373952655,ok,0.07449433892329639,group,0.10974025974025965,backleft,0.13846153846153844,group,0.20454545454545447
2,mammal,0.061522459560879,giraffe,0.06122179322511219,mammal,0.068446058097898,giraffe,0.07720790193475649,tall,0.06155628743165835,group,0.0648283431671286,mammal,0.08991008991009007,mammal,0.1330316742081448,left,0.14518518518518528
3,giraffe,0.054443179219840425,mammal,0.058953164282008676,giraffe,0.05802219844406069,tall,0.060229132569558044,poor,0.0554939257906617,backleft,0.053414244852162535,backleft,0.0888523241464417,tall,0.11932666703908534,tall,0.11931818181818186
4,excellent,0.043899141637719394,sky,0.05082146532516325,sky,0.05403647636057635,giraffe_masai,0.04636560689789147,junk,0.04902155907153572,junk,0.05282039257291707,excellent,0.05276607538802668,left,0.11914011914011914,good,0.11149621212121211
5,brown,0.038999706274777446,ok,0.040594752914945326,excellent,0.04719107253655925,sky,0.0448786983208824,juveniles- two year old,0.04565030647660186,mammal,0.048119701854841226,ok,0.04720279720279723,wild,0.05362456473567588,infant,0.10105218855218845
6,zebra,0.0350253051837158,excellent,0.03821268265995247,ok,0.0391775418762654,excellent,0.037200237421061044,left,0.044919875181057896,excellent,0.04680925035464356,sky,0.04545454545454545,IBEIS_PZ_0971,0.043912630579297264,IBEIS_PZ_0021,0.08750000000000004
7,giraffe_masai,0.030364995903714272,giraffe_masai,0.03638723034423738,giraffe_masai,0.036316603568559556,left,0.03250036318398798,zebra_plains,0.04202455090740287,tall,0.0414165837007538,grassy,0.045034965034965,____,0.043735182196720665,backleft,0.08506944444444445
8,right,0.028597514337115618,ground,0.033072775500962305,field,0.03414736585082331,ok,0.030376228978279303,mammal,0.04200350120279814,standing,0.034706029681472794,junk,0.043258689839572206,IBEIS_PZ_1388,0.04351204351204351,NNP_GIRM_0045,0.08333333333333337
9,sky,0.02793603318614166,juveniles - one year old,0.030704310889579783,good,0.03241754365134156,good,0.0294116809471173,tree,0.03857588504472783,grassy,0.032009232788972934,good,0.03666595679824279,IBEIS_PZ_1486,0.0415389748723082,IBEIS_PZ_0875,0.06249999999999999
10,Female,0.02461085451437099,right,0.029199851970966962,backleft,0.03233929009158165,Female,0.027644439806601976,standing,0.03603405736453086,good,0.03131691950382118,herd,0.029615384615384623,IBEIS_PZ_0875,0.03935271303692353,IBEIS_PZ_1559,0.0
11,backleft,0.023980284993606264,junk,0.020831030199287955,right,0.030130687601725617,standing,0.025683502034853388,ok,0.03560012934642012,dry,0.030360783198217382,IBEIS_PZ_1559,0.028925619834710745,IBEIS_PZ_0101,0.03733462518887616,excellent,0.0
12,standing,0.02241832005980593,group,0.02037320535974317,poor,0.020552068345757533,dry,0.025316822614119897,good,0.034603057474247655,right,0.02867301948513725,NNP_GIRM_0027,0.027348484848484858,standing,0.036467236467236465,sky,0.0
13,walking,0.020920679162157153,frontleft,0.01922864326088119,green,0.01946406676418949,field,0.02514420291680311,backleft,0.03128753177167982,Male,0.02787654672166121,IBEIS_PZ_0971,0.02727272727272728,brown,0.03626003626003626,grassy,0.0
14,junk,0.02053333730602722,infant,0.017305778934793067,adult,0.018335081381346388,backleft,0.022498173849525196,herd,0.020641079988261,tree,0.02688095576731617,IBEIS_PZ_0894,0.02661913250148543,NNP_GIRM_0151,0.035897435897435895,junk,0.0
15,ok,0.020390551886917387,tree,0.017189241702908937,left,0.01708777778000479,juveniles- two year old,0.019867024526856757,NNP_GIRM_0035,0.01962233458131522,sky,0.025221637510074425,Male,0.026515151515151516,frontright,0.031908831908831904,baby,0.0
