Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC
logistic,10.0,0.8793103448275862,0.3333333333333333,0.07692307692307693,0.125,0.7124719940253921
logistic,20.0,0.8744588744588745,0.3333333333333333,0.03571428571428571,0.06451612903225806,0.7032019704433499
logistic,30.000000000000004,0.8728323699421965,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.7253681077694235
logistic,40.0,0.8806941431670282,0.2,0.019230769230769232,0.03508771929824562,0.7335198420161745
logistic,50.0,0.8645833333333334,0.25,0.013157894736842105,0.025,0.6851710526315788
logistic,60.0,0.8755426917510853,0.42857142857142855,0.03529411764705882,0.06521739130434782,0.6775674626286158
logistic,70.0,0.8784119106699751,0.5714285714285714,0.04040404040404041,0.07547169811320754,0.6822825139656823
logistic,80.0,0.8707926167209555,0.3076923076923077,0.03508771929824561,0.06299212598425197,0.6716341659601296
logistic,90.0,0.8725868725868726,0.3888888888888889,0.0546875,0.09589041095890412,0.641016485407489
svm,10.0,0.8879310344827587,0.0,0.0,0.0,0.7363704256908141
svm,20.0,0.8787878787878788,0.0,0.0,0.0,0.669247009148487
svm,30.000000000000004,0.8786127167630058,0.0,0.0,0.0,0.684484649122807
svm,40.0,0.8872017353579176,0.0,0.0,0.0,0.6491677637765657
svm,50.0,0.8680555555555556,0.0,0.0,0.0,0.6280526315789474
svm,60.0,0.8769898697539797,0.0,0.0,0.0,0.6332750922151038
svm,70.0,0.8771712158808933,0.0,0.0,0.0,0.6347277584901346
svm,80.0,0.8762214983713354,0.0,0.0,0.0,0.6326061436118177
svm,90.0,0.8764478764478765,0.0,0.0,0.0,0.38050660792951546
dtree,10.0,0.7931034482758621,0.13333333333333333,0.15384615384615385,0.14285714285714288,0.5097087378640777
dtree,20.0,0.8398268398268398,0.23529411764705882,0.14285714285714285,0.17777777777777778,0.5519000703729768
dtree,30.000000000000004,0.8323699421965318,0.19230769230769232,0.11904761904761904,0.14705882352941174,0.5331688596491228
dtree,40.0,0.8373101952277657,0.1891891891891892,0.1346153846153846,0.15730337078651685,0.5331954109460221
dtree,50.0,0.8090277777777778,0.09523809523809523,0.05263157894736842,0.06779661016949153,0.4883157894736842
dtree,60.0,0.8248914616497829,0.10869565217391304,0.058823529411764705,0.07633587786259542,0.49558338186759854
dtree,70.0,0.8312655086848635,0.17543859649122806,0.10101010101010101,0.1282051282051282,0.5172660123155173
dtree,80.0,0.8393051031487514,0.19642857142857142,0.09649122807017543,0.12941176470588234,0.5203645731428944
dtree,90.0,0.8552123552123552,0.21052631578947367,0.0625,0.0963855421686747,0.5147301762114537
random_forests,10.0,0.8793103448275862,0.0,0.0,0.0,0.6265870052277819
random_forests,20.0,0.8701298701298701,0.0,0.0,0.0,0.5694933145672063
random_forests,30.000000000000004,0.8757225433526011,0.4,0.047619047619047616,0.0851063829787234,0.5633615288220551
random_forests,40.0,0.8741865509761388,0.2,0.038461538461538464,0.06451612903225806,0.566696445363927
random_forests,50.0,0.8645833333333334,0.25,0.013157894736842105,0.025,0.6070526315789474
random_forests,60.0,0.8683068017366136,0.125,0.011764705882352941,0.02150537634408602,0.6040671714230247
random_forests,70.0,0.8722084367245657,0.25,0.020202020202020204,0.037383177570093455,0.5739216778820739
random_forests,80.0,0.8740499457111836,0.25,0.008771929824561403,0.016949152542372878,0.5525880997412987
random_forests,90.0,0.8706563706563707,0.3333333333333333,0.046875,0.08219178082191782,0.5800566148127753
