,UNIDENTIFIED,giraffe_masai,zebra_plains
photo_album_1,,3.0,17.0
photo_album_10,7.0,4.0,9.0
photo_album_100,1.0,,19.0
photo_album_11,,20.0,
photo_album_12,2.0,,18.0
photo_album_13,2.0,2.0,16.0
photo_album_14,,1.0,19.0
photo_album_15,7.0,4.0,10.0
photo_album_16,2.0,1.0,17.0
photo_album_17,,20.0,
photo_album_18,2.0,,18.0
photo_album_19,,2.0,18.0
photo_album_2,8.0,7.0,5.0
photo_album_20,4.0,4.0,12.0
photo_album_21,2.0,1.0,17.0
photo_album_22,2.0,,18.0
photo_album_23,2.0,2.0,16.0
photo_album_24,11.0,1.0,8.0
photo_album_25,3.0,1.0,16.0
photo_album_26,5.0,,15.0
photo_album_27,8.0,1.0,11.0
photo_album_28,6.0,2.0,12.0
photo_album_29,10.0,9.0,2.0
photo_album_3,10.0,1.0,9.0
photo_album_30,3.0,,17.0
photo_album_31,3.0,4.0,13.0
photo_album_32,7.0,,13.0
photo_album_33,1.0,,19.0
photo_album_34,5.0,6.0,10.0
photo_album_35,8.0,,12.0
photo_album_36,4.0,3.0,13.0
photo_album_37,,2.0,18.0
photo_album_38,8.0,2.0,10.0
photo_album_39,1.0,5.0,14.0
photo_album_4,1.0,5.0,14.0
photo_album_40,7.0,4.0,9.0
photo_album_41,14.0,4.0,2.0
photo_album_42,,20.0,
photo_album_43,1.0,,19.0
photo_album_44,2.0,3.0,15.0
photo_album_45,2.0,,18.0
photo_album_46,,1.0,19.0
photo_album_47,1.0,,19.0
photo_album_48,5.0,5.0,10.0
photo_album_49,,20.0,
photo_album_5,12.0,2.0,6.0
photo_album_50,5.0,7.0,8.0
photo_album_51,10.0,,10.0
photo_album_52,11.0,,9.0
photo_album_53,9.0,1.0,10.0
photo_album_54,2.0,1.0,17.0
photo_album_55,,20.0,
photo_album_56,6.0,7.0,8.0
photo_album_57,5.0,3.0,12.0
photo_album_58,8.0,,12.0
photo_album_59,4.0,4.0,12.0
photo_album_6,4.0,7.0,9.0
photo_album_60,10.0,1.0,9.0
photo_album_61,3.0,10.0,7.0
photo_album_62,11.0,1.0,8.0
photo_album_63,12.0,,8.0
photo_album_64,3.0,4.0,13.0
photo_album_65,15.0,4.0,1.0
photo_album_66,2.0,3.0,15.0
photo_album_67,,20.0,
photo_album_68,1.0,4.0,15.0
photo_album_69,,2.0,18.0
photo_album_7,9.0,4.0,7.0
photo_album_70,2.0,,18.0
photo_album_71,6.0,1.0,13.0
photo_album_72,3.0,4.0,13.0
photo_album_73,4.0,2.0,14.0
photo_album_74,3.0,1.0,16.0
photo_album_75,11.0,4.0,5.0
photo_album_76,3.0,1.0,16.0
photo_album_77,10.0,,10.0
photo_album_78,,1.0,19.0
photo_album_79,2.0,2.0,16.0
photo_album_8,6.0,2.0,12.0
photo_album_80,,20.0,
photo_album_81,7.0,6.0,8.0
photo_album_82,,3.0,17.0
photo_album_83,7.0,6.0,8.0
photo_album_84,7.0,3.0,10.0
photo_album_85,5.0,1.0,14.0
photo_album_86,5.0,6.0,9.0
photo_album_87,13.0,4.0,3.0
photo_album_88,,,20.0
photo_album_89,7.0,4.0,10.0
photo_album_9,3.0,1.0,16.0
photo_album_90,9.0,5.0,6.0
photo_album_91,6.0,5.0,9.0
photo_album_92,11.0,1.0,8.0
photo_album_93,9.0,1.0,10.0
photo_album_94,,2.0,18.0
photo_album_95,11.0,2.0,7.0
photo_album_96,3.0,,17.0
photo_album_97,10.0,2.0,8.0
photo_album_98,4.0,8.0,8.0
photo_album_99,10.0,2.0,8.0
