num_images,zebras,zebra_confidence
2,0.0,
3,1790.4468581893182,917.0
4,3546.603616983437,1815.0
5,4107.165852994008,2101.0
6,5186.146666649527,2652.0
7,2857.655802366688,1464.0
8,3175.178222147538,1626.0
9,4047.3767456959085,2072.0
10,4703.977031193924,2407.5
11,5100.878818399826,2610.0
12,3591.6699180186365,1840.0
13,4029.7294940479565,2064.0
14,4259.70447433987,2181.3333333333335
15,4510.586079485064,2309.3333333333335
16,5505.281845080938,2818.3333333333335
17,6043.3015494659685,3093.3333333333335
18,6633.588076448522,3395.0
19,6894.269283513663,3528.0
20,7100.070173850397,3633.0
21,5515.401604343966,2824.5
22,5907.400656803295,3025.0
23,4046.0358906520396,2075.3333333333335
24,4175.397670311709,2141.3333333333335
25,4254.452037937566,2181.6666666666665
26,4355.066633336394,2233.0
27,4448.494420802515,2280.6666666666665
28,4534.7354143960565,2324.6666666666665
29,4785.94025611594,2453.3333333333335
30,4876.101237523456,2499.3333333333335
31,4478.818244135387,2297.1428571428573
32,4770.437086892563,2446.4285714285716
33,4840.437996710628,2482.1428571428573
34,5099.576345070244,2614.8571428571427
35,5216.0577665512865,2674.285714285714
36,4681.880666153293,2401.75
37,4758.321779966126,2440.75
38,4796.542323559754,2460.25
39,4853.873122898866,2489.5
40,4943.054329460682,2535.0
41,3774.065427332325,1939.090909090909
42,3765.542753189771,1935.75
43,4085.997061636241,2100.25
44,4146.758716455541,2131.25
45,3862.8143827216118,1986.3846153846155
46,3900.206297232897,2005.4615384615386
47,3960.9681121963968,2036.4615384615386
48,3861.6326661141657,1986.2857142857142
49,3892.9936918520684,2002.2857142857142
50,3915.394414461971,2013.7142857142858
51,4079.3318099904545,2097.8571428571427
52,4236.268964265607,2178.4285714285716
53,4293.390707587651,2207.5714285714284
54,4317.191420356527,2219.714285714286
55,4473.568508472849,2300.0
56,4527.470073893366,2327.5
57,4255.348432288216,2188.6666666666665
58,4328.524102462639,2226.0
59,4494.53353632877,2311.2
60,4541.5749704859,2335.2
61,4579.208096596616,2354.4
62,4645.066023384382,2388.0
63,4659.178429180835,2395.2
64,4523.289667003983,2326.375
65,4559.550822770265,2344.875
66,4582.2140358353245,2356.4375
67,4470.835494903451,2300.1176470588234
68,4464.272343566291,2297.777777777778
69,4349.828113893564,2239.8947368421054
70,4179.674241681734,2154.095238095238
71,4203.755458497133,2166.3809523809523
72,4217.333069224775,2174.318181818182
73,4245.398229721874,2188.6363636363635
74,4273.4633702006,2202.9545454545455
